City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,port elizabeth,-33.918,25.5701,58.32,85,0,0.0,ZA,1699562240
282,novorossiysk,44.7239,37.7708,53.26,75,6,4.45,RU,1699562242
283,kamaishi,39.2667,141.8833,56.79,84,99,10.42,JP,1699562244
284,port mathurin,-19.6833,63.4167,76.53,78,7,13.06,MU,1699562245
285,kristiansund,63.1115,7.732,41.65,65,0,4.61,NO,1699562247
286,shache,38.4167,77.2406,46.71,30,98,5.37,CN,1699562248
287,charlottetown,46.2352,-63.1267,41.56,94,100,12.66,CA,1699562250
288,tura,25.5198,90.2201,63.05,70,0,3.6,IN,1699562252
289,choele choel,-39.2667,-65.6833,84.85,15,29,13.65,AR,1699561959
290,chos malal,-37.3781,-70.2709,80.11,12,32,8.72,AR,1699562255
291,nguigmi,14.2495,13.1092,83.48,20,83,12.12,NE,1699562257
292,nejo,9.5,35.5,57.7,86,52,1.66,ET,1699562259
293,north bay,46.3168,-79.4663,42.12,95,100,12.66,CA,1699562233
294,atafu village,-8.5421,-172.5159,83.75,74,100,13.85,TK,1699562261
295,praia da vitoria,38.7333,-27.0667,70.05,88,75,19.53,PT,1699562264
296,ungsang-nodongjagu,42.3578,130.4622,28.2,51,0,21.43,KP,1699562265
297,khed,17.7167,73.3833,75.96,89,90,2.15,IN,1699562267
298,ruangwa,-10.0667,38.9333,76.03,82,65,7.09,TZ,1699562268
299,opuwo,-18.0607,13.84,74.77,27,10,7.56,NA,1699562269
300,yarmouth,41.7057,-70.2286,50.02,93,100,5.75,US,1699562031
301,castillos,-34.1667,-53.8333,59.02,59,0,10.18,UY,1699562273
302,benguela,-12.5763,13.4055,78.44,72,88,7.85,AO,1699562275
303,biltine,14.5333,20.9167,81.16,15,42,8.05,TD,1699562277
304,funafuti,-8.5243,179.1942,84.2,94,75,0.0,TV,1699562278
305,akureyri,65.6835,-18.0878,35.53,75,75,4.61,IS,1699562280
306,turkmenbasy,40.0222,52.9552,65.17,29,0,11.5,TM,1699562281
307,rice lake,45.5061,-91.7382,47.88,48,0,20.71,US,1699562131
308,isiro,2.7739,27.616,67.55,97,78,2.42,CD,1699562284
309,axim,4.8699,-2.2405,79.16,85,29,7.4,GH,1699562286
310,kassiri,8.9372,-13.1244,79.75,84,73,6.33,SL,1699562288
311,mili,6.0815,171.735,80.89,87,100,15.28,MH,1699562290
312,mirny,62.5353,113.9611,6.24,77,100,11.01,RU,1699562291
313,zhanaozen,43.3,52.8,54.43,48,100,20.58,KZ,1699562293
314,'ain benian,36.8028,2.9219,59.05,65,100,10.89,DZ,1699562295
315,freetown,8.484,-13.2299,79.7,83,100,7.02,SL,1699562296
316,hermosillo,29.0667,-110.9667,84.29,23,0,5.01,MX,1699562181
317,brisas de zicatela,15.8369,-97.0419,86.52,58,20,4.61,MX,1699562299
318,quilmes,-34.7242,-58.2527,73.35,31,54,15.17,AR,1699562302
319,nikolayevsk-on-amure,53.1406,140.73,17.24,96,100,3.42,RU,1699562304
320,frontera,26.9333,-101.45,74.95,64,75,8.05,MX,1699562306
321,bend,44.0582,-121.3153,48.34,46,0,9.22,US,1699562258
322,fort mcmurray,56.7268,-111.381,26.19,93,100,6.91,CA,1699562309
323,mandiana,10.6333,-8.6833,81.97,47,100,1.19,GN,1699562311
324,changzhi,35.2089,111.7386,41.36,54,100,6.6,CN,1699562312
325,shangmei,27.7428,111.2956,60.78,89,100,5.32,CN,1699562313
326,kasungu,-13.0333,33.4833,75.07,58,50,9.4,MW,1699562315
327,hartselle,34.4434,-86.9353,75.72,84,100,3.04,US,1699562316
328,st. john's,47.5649,-52.7093,38.97,96,100,24.16,CA,1699562237
329,long beach,33.767,-118.1892,82.56,18,0,5.75,US,1699562151
330,katsina,12.9894,7.6006,82.29,32,93,0.0,NG,1699562324
331,new ulm,44.3125,-94.4605,52.43,40,40,21.85,US,1699562326
332,codrington,-38.2667,141.9667,57.18,76,16,3.83,AU,1699562327
333,holualoa,19.6228,-155.9522,82.54,70,40,6.91,US,1699562329
334,plano,33.0198,-96.6989,55.92,90,100,16.11,US,1699562330
335,kingston,17.997,-76.7936,87.24,83,40,24.16,JM,1699562139
336,al kharijah,25.4514,30.5464,76.06,42,0,10.51,EG,1699562335
337,saint-joseph,-21.3667,55.6167,73.78,79,57,4.74,RE,1699562338
338,nova sintra,14.8667,-24.7167,72.88,66,93,10.22,CV,1699562340
339,daru,-9.0763,143.2092,78.42,69,85,10.13,PG,1699562342
340,sile,41.1754,29.6133,61.57,58,23,5.99,TR,1699562102
341,ar ruways,24.1103,52.7306,81.07,66,0,7.52,AE,1699562347
342,chom bueng,13.62,99.5917,74.86,93,39,2.77,TH,1699562348
343,recreo,-29.2818,-65.061,83.88,35,7,22.1,AR,1699562350
344,anadyr,64.75,177.4833,16.3,86,0,6.71,RU,1699562352
345,kachug,53.9606,105.8817,4.05,98,53,1.01,RU,1699562353
346,ouesso,1.6136,16.0517,72.05,99,100,2.06,CG,1699562355
347,alliance,40.9153,-81.1059,55.67,64,76,9.44,US,1699562165
348,chornobay,49.6708,32.3239,43.05,79,8,6.11,UA,1699562358
349,mil'kovo,55.6078,37.7956,41.99,87,88,6.22,RU,1699562360
350,leitchfield,37.48,-86.2939,64.26,60,98,1.99,US,1699562361
351,colonia,50.9333,6.95,47.86,87,20,9.22,DE,1699562362
352,arteche,12.2645,125.4048,79.21,87,23,4.54,PH,1699562364
353,ulladulla,-35.35,150.4667,64.44,82,3,0.83,AU,1699562365
354,evora,38.5667,-7.9,53.33,92,95,5.28,PT,1699562264
355,trebon,49.0036,14.7707,39.49,87,100,3.89,CZ,1699562369
356,ghormach,35.7306,63.7826,51.35,53,46,6.44,AF,1699562371
357,luganville,-15.5333,167.1667,77.74,84,100,13.29,VU,1699562373
358,asau,46.4333,26.4,36.52,75,1,4.5,RO,1699562374
359,mata-utu,-13.2816,-176.1745,81.55,85,98,14.03,WF,1699562376
